							Insulin=0.01nM	(Dataset 1 of 3)							Insulin=1nM	(Dataset 1 of 3)							Insulin=100nM	(Dataset 1 of 3)							Insulin=0.01nM	(Dataset 2 of 3)							Insulin=1nM	(Dataset 2 of 3)							Insulin=100nM	(Dataset 2 of 3)							Insulin=0.01nM	(Dataset 3 of 3)							Insulin=1nM	(Dataset 3 of 3)							Insulin=100nM	(Dataset 3 of 3)							
No. (Figure. 2)	Compound name (Keio IAB)	Compound (KEGG)	KEGG Compound ID	Synonym 1	Synonym 2	Synonym 3	0min	2min	5min	10min	15min	20min	30min	60min	0min	2min	5min	10min	15min	20min	30min	60min	0min	2min	5min	10min	15min	20min	30min	60min	0min	2min	5min	10min	15min	20min	30min	60min	0min	2min	5min	10min	15min	20min	30min	60min	0min	2min	5min	10min	15min	20min	30min	60min	0min	2min	5min	10min	15min	20min	30min	60min	0min	2min	5min	10min	15min	20min	30min	60min	0min	2min	5min	10min	15min	20min	30min	60min	S1/S0
1	SAH	S-Adenosyl-L-homocysteine	C00021				0.085	0.048	0.077	0.066	0.079	0.069	0.074	0.1	0.074	0.061	0.047	0.059	0.064	N.D.	0.091	0.067	0.084	0.062	0.084	0.063	0.05	0.078	0.091	0.076	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.064	N.D.	N.D.	0.03	0.039	0.036	0.023	0.042	0.041	N.D.	N.D.	N.D.	0.053	N.D.	N.D.	0.035	N.D.	N.D.	0.035	0.029	N.D.	N.D.	0.034	0.036	0.037	N.D.	0.038	0.018	N.D.	0.047	N.D.	0.048	0.064	-2.192296401
2	2-Oxoglutarate	2-Oxoglutarate	C00026				0.52	0.44	0.35	0.3	0.27	0.29	0.24	0.48	0.62	0.29	0.22	0.31	0.31	0.46	0.56	0.73	0.68	0.38	0.31	0.35	0.28	0.41	0.43	0.92	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.54	0.3	0.2	0.19	0.22	0.22	0.32	0.43	0.39	0.51	0.4	0.31	0.39	0.48	0.48	0.8	0.59	0.35	0.27	0.3	0.39	0.36	0.49	0.95	2.218224139
3	Ala	L-Alanine	C00041	C00133			1.5	2	2.8	3	3.9	3.8	4.4	3.9	1.8	2.2	2.8	3.1	4.6	5.3	5.6	5.6	1.8	2.5	2.7	2.9	5.2	5.6	5.8	6.7	1	1.5	2.5	3.3	2.5	3.2	3	3.2	1.1	1.6	2.8	3.3	4	4.2	4.3	4.5	1.2	1.5	2.8	3.3	4.7	5.1	5.1	5.8	1.8	3.3	3.9	4.6	4.6	4.2	4.5	4.9	1.9	3.2	4.1	4.2	6	5.9	6.2	7.6	2.1	2.7	3.5	3.9	6.2	6	6.9	8.4	1.349872859
4	PEP	Phosphoenolpyruvate	C00074				2.2	4.2	4.4	4	4.5	4.1	3.5	3	2.4	4.1	4.4	4.1	5.1	4.9	4	3.8	2.2	3.1	4.3	4	5.5	5.5	4.5	3.8	2.8	4.1	4.6	3.9	3.6	3.7	2.9	2.8	2.6	4.4	5.2	4.1	5.5	4.6	3.8	3.3	2.9	3.7	5.2	4.2	5.4	4.8	4.2	3.4	2.1	4.6	4.2	3.8	3.9	3.4	2.9	2.9	2.2	4.5	4.9	4.2	4.8	4.3	3.6	3.7	2.1	3.9	4.8	3.9	5.3	5.3	4.3	4.1	2.342490162
5	Ornithine	L-Ornithine	C00077	C00515	C01602		0.082	0.079	0.12	0.21	0.088	0.096	0.092	0.12	0.079	0.069	N.D.	0.082	0.13	0.12	0.11	0.088	0.073	0.061	0.091	0.069	0.075	0.074	0.1	0.97	0.085	0.077	0.13	0.13	0.082	0.076	0.19	0.075	0.1	0.075	0.088	0.044	0.95	0.058	0.076	0.077	0.059	0.061	0.083	0.042	0.28	0.071	0.05	0.078	0.069	0.36	0.53	0.24	0.062	0.059	0.059	0.1	0.051	0.48	0.087	0.1	0.13	0.11	0.09	0.19	0.098	0.082	0.08	0.093	0.18	0.17	0.23	0.15	1.395299336
6	F6P	D-Fructose 6-phosphate	C00085	C05345			0.32	0.43	0.5	0.8	0.42	0.54	0.47	0.43	0.46	0.26	0.4	0.38	0.22	0.24	0.28	0.28	0.4	0.31	0.3	0.27	0.24	0.28	0.2	0.28	0.28	0.32	0.51	0.59	0.47	0.59	0.6	0.53	0.21	0.33	0.33	0.43	0.36	0.33	0.2	0.29	0.23	0.3	0.28	0.25	0.24	0.31	0.19	0.4	0.31	0.25	0.46	0.62	0.49	0.48	0.48	0.4	0.29	0.22	0.35	0.36	0.24	0.21	0.19	0.24	0.3	0.33	0.22	0.38	0.26	0.18	0.16	0.25	-2.288361893
7	Succinyl CoA	Succinyl-CoA	C00091				N.D.	N.D.	N.D.	0.016	N.D.	0.017	N.D.	0.015	N.D.	N.D.	0.016	N.D.	0.019	N.D.	0.016	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.02	N.D.	N.D.	N.D.	0.032	N.D.	0.038	N.D.	0.025	N.D.	N.D.	N.D.	0.026	0.024	0.017	0.038	0.043	0.049	0.03	0.04	0.031	0.039	0.027	0.039	0.034	0.036	0.038	N.D.	N.D.	N.D.	N.D.	0.018	0.019	N.D.	0.018	N.D.	N.D.	N.D.	0.018	0.017	0.025	0.017	0.021	0.022	0.031	0.016	0.019	0.017	0.022	N.D.	0.023	1.495178133
8	G6P	D-Glucose 6-phosphate	C00092	C00668			1.1	1.9	1.9	2.7	1.5	2	1.6	1.6	1.9	1.1	1.7	1.7	1	1.2	1.2	1.1	1.6	1.4	1.5	1.1	1.1	1.3	0.85	1.2	0.94	1.1	1.9	1.9	1.6	2.1	2	1.7	0.73	1.2	1.2	1.5	1.2	1.2	0.69	1.1	0.74	1.1	1.1	0.91	1.1	1.1	0.59	1.5	1.3	1.1	1.9	2.2	1.8	1.8	2	1.5	1.2	0.95	1.3	1.4	0.93	0.96	0.77	0.96	1.2	1.2	0.98	1.6	1	0.83	0.71	1	-2.531639039
9	Fumarate	Fumarate	C00122				0.42	0.51	0.37	0.31	0.54	0.49	0.51	0.53	0.45	0.52	0.41	0.37	0.52	0.61	0.71	0.71	0.5	0.52	0.34	0.4	0.54	0.54	0.78	0.73	0.31	0.36	0.3	0.3	0.33	0.37	0.37	0.44	0.3	0.35	0.32	0.29	0.37	0.38	0.5	0.54	0.31	0.34	0.32	0.32	0.37	0.32	0.46	0.52	0.41	0.46	0.34	0.31	0.46	0.46	0.52	0.54	0.41	0.47	0.43	0.42	0.53	0.56	0.69	0.78	0.46	0.48	0.34	0.45	0.51	0.61	0.76	0.83	1.253880517
